==========================PrintTree========================
0visit: 23480, value: 11745, score: 0.5227, children: 10
1   visit: 3295, value: 1610, score: 0.5666, children: 14
2      visit: 429, value: 229, score: 0.6712, children: 18
3         visit: 33, value: 15, score: 0.9740, children: 19
4            visit: 4, value: 3, score: 1.6849, children: 3
5               visit: 1, value: 1, score: 1.1774, children: 0
5               visit: 1, value: 1, score: 1.1774, children: 0
5               visit: 1, value: 0, score: 2.1774, children: 0
4            visit: 4, value: 4, score: 1.9349, children: 3
5               visit: 1, value: 1, score: 1.1774, children: 0
5               visit: 1, value: 1, score: 1.1774, children: 0
5               visit: 1, value: 1, score: 1.1774, children: 0
4            visit: 3, value: 2, score: 1.7463, children: 2
5               visit: 1, value: 1, score: 1.0481, children: 0
5               visit: 1, value: 0, score: 2.0481, children: 0
4            visit: 2, value: 1, score: 1.8222, children: 1
5               visit: 1, value: 0, score: 1.8326, children: 0
4            visit: 2, value: 1, score: 1.8222, children: 1
5               visit: 1, value: 0, score: 1.8326, children: 0
3         visit: 31, value: 15, score: 0.9583, children: 21
4            visit: 2, value: 2, score: 2.3103, children: 1
5               visit: 1, value: 1, score: 0.8326, children: 0
4            visit: 2, value: 2, score: 2.3103, children: 1
5               visit: 1, value: 1, score: 0.8326, children: 0
4            visit: 2, value: 1, score: 1.8103, children: 1
5               visit: 1, value: 0, score: 1.8326, children: 0
4            visit: 2, value: 1, score: 1.8103, children: 1
5               visit: 1, value: 0, score: 1.8326, children: 0
4            visit: 2, value: 2, score: 2.3103, children: 1
5               visit: 1, value: 1, score: 0.8326, children: 0
3         visit: 31, value: 15, score: 0.9583, children: 21
4            visit: 2, value: 1, score: 1.8103, children: 1
5               visit: 1, value: 0, score: 1.8326, children: 0
4            visit: 2, value: 1, score: 1.8103, children: 1
5               visit: 1, value: 0, score: 1.8326, children: 0
4            visit: 2, value: 1, score: 1.8103, children: 1
5               visit: 1, value: 0, score: 1.8326, children: 0
4            visit: 2, value: 1, score: 1.8103, children: 1
5               visit: 1, value: 0, score: 1.8326, children: 0
4            visit: 2, value: 1, score: 1.8103, children: 1
5               visit: 1, value: 0, score: 1.8326, children: 0
3         visit: 31, value: 15, score: 0.9583, children: 20
4            visit: 3, value: 3, score: 2.0699, children: 2
5               visit: 1, value: 1, score: 1.0481, children: 0
5               visit: 1, value: 1, score: 1.0481, children: 0
4            visit: 3, value: 3, score: 2.0699, children: 2
5               visit: 1, value: 1, score: 1.0481, children: 0
5               visit: 1, value: 1, score: 1.0481, children: 0
4            visit: 2, value: 2, score: 2.3103, children: 1
5               visit: 1, value: 1, score: 0.8326, children: 0
4            visit: 2, value: 1, score: 1.8103, children: 1
5               visit: 1, value: 0, score: 1.8326, children: 0
4            visit: 2, value: 1, score: 1.8103, children: 1
5               visit: 1, value: 0, score: 1.8326, children: 0
3         visit: 29, value: 14, score: 0.9744, children: 22
4            visit: 2, value: 1, score: 1.7976, children: 1
5               visit: 1, value: 0, score: 1.8326, children: 0
4            visit: 2, value: 2, score: 2.2976, children: 1
5               visit: 1, value: 1, score: 0.8326, children: 0
4            visit: 2, value: 2, score: 2.2976, children: 1
5               visit: 1, value: 1, score: 0.8326, children: 0
4            visit: 2, value: 1, score: 1.7976, children: 1
5               visit: 1, value: 0, score: 1.8326, children: 0
4            visit: 2, value: 2, score: 2.2976, children: 1
5               visit: 1, value: 1, score: 0.8326, children: 0
2      visit: 374, value: 196, score: 0.6712, children: 18
3         visit: 34, value: 14, score: 1.0057, children: 17
4            visit: 4, value: 3, score: 1.6889, children: 3
5               visit: 1, value: 1, score: 1.1774, children: 0
5               visit: 1, value: 1, score: 1.1774, children: 0
5               visit: 1, value: 0, score: 2.1774, children: 0
4            visit: 3, value: 2, score: 1.7508, children: 2
5               visit: 1, value: 1, score: 1.0481, children: 0
5               visit: 1, value: 0, score: 2.0481, children: 0
4            visit: 3, value: 2, score: 1.7508, children: 2
5               visit: 1, value: 1, score: 1.0481, children: 0
5               visit: 1, value: 0, score: 2.0481, children: 0
4            visit: 3, value: 2, score: 1.7508, children: 2
5               visit: 1, value: 1, score: 1.0481, children: 0
5               visit: 1, value: 0, score: 2.0481, children: 0
4            visit: 2, value: 1, score: 1.8278, children: 1
5               visit: 1, value: 1, score: 0.8326, children: 0
3         visit: 34, value: 14, score: 1.0057, children: 20
4            visit: 4, value: 4, score: 1.9389, children: 3
5               visit: 1, value: 1, score: 1.1774, children: 0
